## header:
##   title: Th232(n,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2025-12-18
##   format: YANDF-0.4
## target:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## residual:
##   Z: 90
##   A: 233
##   nuclide: Th233 
## parameters: 
##   level density
a                90 233  16.70415
aadjust          90 233   1.00000
gammald          90 233   0.07697
pair             90 233   0.78615
ctableadjust     89 232   0.00000   0
ptableadjust     89 232   0.00000   0
Ufermi           89 232  30.00000   0
cfermi           89 232   5.00000   0
Krotconstant     89 232   1.00000   0
Pshift           89 232   0.00000   1
Pshiftadjust     89 232   0.00000   1
deltaW           89 232   2.50000   1
Ntop             89 232   1   1
Nlow             89 232   0   1
s2adjust         89 232   1.00000   1
ctable           89 232   0.00000   1
ptable           89 232   0.00000   1
ctableadjust     89 232   0.00000   1
ptableadjust     89 232   0.00000   1
Ufermi           89 232  45.00000   1
cfermi           89 232   5.00000   1
Krotconstant     89 232   1.00000   1
g                89 232  15.46667
gp               89 232   5.93333
gn               89 232   9.53333
gnadjust         89 232   1.00000
gpadjust         89 232   1.00000
gadjust          89 232   1.00000
Risomer          89 232   1.00000
## parameters: 
##   photon strength function
gamgam           89 232   0.00000
gamgamadjust     89 232   1.00000
etable           89 232   0.00000 E1
ftable           89 232   1.00000 E1
wtable           89 232   1.02100 E1
etableadjust     89 232   0.00000 E1
ftableadjust     89 232   1.00000 E1
wtableadjust     89 232   1.00000 E1
upbendc          89 232 3.50000E-08 M1
upbende          89 232 8.00000E-01 M1
upbendf          89 232 6.00000E+00 M1
upbendcadjust    89 232 1.00000E+00 M1
upbendeadjust    89 232 1.00000E+00 M1
upbendfadjust    89 232 1.00000E+00 M1
sgr              89 232   2.808 M1
egr              89 232   7.261 M1
ggr              89 232   4.000 M1
sgradjust        89 232   1.000 M1
egradjust        89 232   1.000 M1
ggradjust        89 232   1.000 M1
etable           89 232   0.00000 E2
ftable           89 232   1.00000 E2
wtable           89 232   1.00000 E2
etableadjust     89 232   0.00000 E2
ftableadjust     89 232   1.00000 E2
wtableadjust     89 232   1.00000 E2
upbendc          89 232 0.00000E+00 M2
upbende          89 232 0.00000E+00 M2
upbendf          89 232 0.00000E+00 M2
upbendcadjust    89 232 1.00000E+00 M2
upbendeadjust    89 232 1.00000E+00 M2
upbendfadjust    89 232 1.00000E+00 M2
sgr              89 232   0.002 M2
egr              89 232   7.261 M2
ggr              89 232   4.000 M2
sgradjust        89 232   1.000 M2
egradjust        89 232   1.000 M2
ggradjust        89 232   1.000 M2
##
## parameters: 
##   fission
##
fisbar           89 232   9.55197  1
fishw            89 232   0.24000  1
fisbaradjust     89 232   1.00000  1
fishwadjust      89 232   1.00000  1
Rtransmom        89 232   0.60000  1
Rclass2mom       89 232   1.00000  1
## residual:
##   Z: 89
##   A: 231
##   nuclide: Ac231 
## parameters: 
##   level density
a                89 231  16.88470
aadjust          89 231   1.00000
gammald          89 231   0.07719
pair             89 231   0.78954
Pshift           89 231   0.00000   0
Pshiftadjust     89 231   0.00000   0
deltaW           89 231   4.06840   0
Ntop             89 231  22   0
Nlow             89 231   6   0
s2adjust         89 231   1.00000   0
ctable           89 231  -0.02732   0
ptable           89 231  -0.02807   0
ctableadjust     89 231   0.00000   0
ptableadjust     89 231   0.00000   0
Ufermi           89 231  30.00000   0
cfermi           89 231   5.00000   0
Krotconstant     89 231   1.00000   0
Pshift           89 231   0.00000   1
Pshiftadjust     89 231   0.00000   1
deltaW           89 231   2.50000   1
Ntop             89 231   1   1
Nlow             89 231   0   1
s2adjust         89 231   1.00000   1
ctable           89 231   0.00000   1
ptable           89 231   0.00000   1
ctableadjust     89 231   0.00000   1
ptableadjust     89 231   0.00000   1
Ufermi           89 231  45.00000   1
cfermi           89 231   5.00000   1
Krotconstant     89 231   1.00000   1
g                89 231  15.40000
gp               89 231   5.93333
gn               89 231   9.46667
gnadjust         89 231   1.00000
gpadjust         89 231   1.00000
gadjust          89 231   1.00000
Risomer          89 231   1.00000
## parameters: 
##   photon strength function
gamgam           89 231   0.00000
gamgamadjust     89 231   1.00000
etable           89 231   0.00000 E1
ftable           89 231   1.00000 E1
wtable           89 231   1.02100 E1
etableadjust     89 231   0.00000 E1
ftableadjust     89 231   1.00000 E1
wtableadjust     89 231   1.00000 E1
upbendc          89 231 3.50000E-08 M1
upbende          89 231 8.00000E-01 M1
upbendf          89 231 6.00000E+00 M1
upbendcadjust    89 231 1.00000E+00 M1
upbendeadjust    89 231 1.00000E+00 M1
upbendfadjust    89 231 1.00000E+00 M1
sgr              89 231   2.798 M1
egr              89 231   7.267 M1
ggr              89 231   4.000 M1
sgradjust        89 231   1.000 M1
egradjust        89 231   1.000 M1
ggradjust        89 231   1.000 M1
etable           89 231   0.00000 E2
ftable           89 231   1.00000 E2
wtable           89 231   1.00000 E2
etableadjust     89 231   0.00000 E2
ftableadjust     89 231   1.00000 E2
wtableadjust     89 231   1.00000 E2
upbendc          89 231 0.00000E+00 M2
upbende          89 231 0.00000E+00 M2
upbendf          89 231 0.00000E+00 M2
upbendcadjust    89 231 1.00000E+00 M2
upbendeadjust    89 231 1.00000E+00 M2
upbendfadjust    89 231 1.00000E+00 M2
sgr              89 231   0.002 M2
egr              89 231   7.267 M2
ggr              89 231   4.000 M2
sgradjust        89 231   1.000 M2
egradjust        89 231   1.000 M2
ggradjust        89 231   1.000 M2
##
## parameters: 
##   fission
##
fisbar           89 231   9.29526  1
fishw            89 231   0.24000  1
fisbaradjust     89 231   1.00000  1
fishwadjust      89 231   1.00000  1
Rtransmom        89 231   0.60000  1
Rclass2mom       89 231   1.00000  1
## residual:
##   Z: 89
##   A: 230
##   nuclide: Ac230 
## parameters: 
##   level density
a                89 230  16.74592
aadjust          89 230   1.00000
gammald          89 230   0.07730
pair             89 230   0.00000
Pshift           89 230   0.00000   0
Pshiftadjust     89 230   0.00000   0
deltaW           89 230   3.90590   0
Ntop             89 230  15   0
Nlow             89 230   6   0
s2adjust         89 230   1.00000   0
ctable           89 230   0.21797   0
ptable           89 230   0.27904   0
ctableadjust     89 230   0.00000   0
ptableadjust     89 230   0.00000   0
Ufermi           89 230  30.00000   0
cfermi           89 230   5.00000   0
Krotconstant     89 230   1.00000   0
Pshift           89 230   0.00000   1
Pshiftadjust     89 230   0.00000   1
deltaW           89 230   2.50000   1
Ntop             89 230   1   1
Nlow             89 230   0   1
s2adjust         89 230   1.00000   1
ctable           89 230   0.00000   1
ptable           89 230   0.00000   1
ctableadjust     89 230   0.00000   1
ptableadjust     89 230   0.00000   1
Ufermi           89 230  45.00000   1
cfermi           89 230   5.00000   1
Krotconstant     89 230   1.00000   1
g                89 230  15.33333
gp               89 230   5.93333
gn               89 230   9.40000
gnadjust         89 230   1.00000
gpadjust         89 230   1.00000
gadjust          89 230   1.00000
Risomer          89 230   1.00000
## parameters: 
##   photon strength function
gamgam           89 230   0.00000
gamgamadjust     89 230   1.00000
etable           89 230   0.00000 E1
ftable           89 230   1.00000 E1
wtable           89 230   1.02100 E1
etableadjust     89 230   0.00000 E1
ftableadjust     89 230   1.00000 E1
wtableadjust     89 230   1.00000 E1
upbendc          89 230 3.50000E-08 M1
upbende          89 230 8.00000E-01 M1
upbendf          89 230 6.00000E+00 M1
upbendcadjust    89 230 1.00000E+00 M1
upbendeadjust    89 230 1.00000E+00 M1
upbendfadjust    89 230 1.00000E+00 M1
sgr              89 230   2.788 M1
egr              89 230   7.272 M1
ggr              89 230   4.000 M1
sgradjust        89 230   1.000 M1
egradjust        89 230   1.000 M1
ggradjust        89 230   1.000 M1
etable           89 230   0.00000 E2
ftable           89 230   1.00000 E2
wtable           89 230   1.00000 E2
etableadjust     89 230   0.00000 E2
ftableadjust     89 230   1.00000 E2
wtableadjust     89 230   1.00000 E2
upbendc          89 230 0.00000E+00 M2
upbende          89 230 0.00000E+00 M2
upbendf          89 230 0.00000E+00 M2
upbendcadjust    89 230 1.00000E+00 M2
upbendeadjust    89 230 1.00000E+00 M2
upbendfadjust    89 230 1.00000E+00 M2
sgr              89 230   0.002 M2
egr              89 230   7.272 M2
ggr              89 230   4.000 M2
sgradjust        89 230   1.000 M2
egradjust        89 230   1.000 M2
ggradjust        89 230   1.000 M2
##
## parameters: 
##   fission
##
fisbar           89 230   9.56200  1
fishw            89 230   0.24000  1
fisbaradjust     89 230   1.00000  1
fishwadjust      89 230   1.00000  1
Rtransmom        89 230   0.60000  1
Rclass2mom       89 230   1.00000  1
## residual:
##   Z: 88
##   A: 230
##   nuclide: Ra230 
## parameters: 
##   level density
a                88 230  17.02038
aadjust          88 230   1.00000
gammald          88 230   0.07730
pair             88 230   1.58251
Pshift           88 230   0.00000   0
Pshiftadjust     88 230   0.00000   0
deltaW           88 230   4.16568   0
Ntop             88 230  22   0
Nlow             88 230   6   0
s2adjust         88 230   1.00000   0
ctable           88 230   0.49612   0
ptable           88 230   0.68631   0
ctableadjust     88 230   0.00000   0
ptableadjust     88 230   0.00000   0
Ufermi           88 230  30.00000   0
cfermi           88 230   5.00000   0
Krotconstant     88 230   1.00000   0
Pshift           88 230   0.00000   1
Pshiftadjust     88 230   0.00000   1
deltaW           88 230   2.50000   1
Ntop             88 230   1   1
Nlow             88 230   0   1
s2adjust         88 230   1.00000   1
ctable           88 230   0.00000   1
ptable           88 230   0.00000   1
ctableadjust     88 230   0.00000   1
ptableadjust     88 230   0.00000   1
Ufermi           88 230  45.00000   1
cfermi           88 230   5.00000   1
Krotconstant     88 230   1.00000   1
g                88 230  15.33333
gp               88 230   5.86667
gn               88 230   9.46667
gnadjust         88 230   1.00000
gpadjust         88 230   1.00000
gadjust          88 230   1.00000
Risomer          88 230   1.00000
## parameters: 
##   photon strength function
gamgam           88 230   0.00000
gamgamadjust     88 230   1.00000
etable           88 230   0.00000 E1
ftable           88 230   1.00000 E1
wtable           88 230   1.02100 E1
etableadjust     88 230   0.00000 E1
ftableadjust     88 230   1.00000 E1
wtableadjust     88 230   1.00000 E1
upbendc          88 230 3.50000E-08 M1
upbende          88 230 8.00000E-01 M1
upbendf          88 230 6.00000E+00 M1
upbendcadjust    88 230 1.00000E+00 M1
upbendeadjust    88 230 1.00000E+00 M1
upbendfadjust    88 230 1.00000E+00 M1
sgr              88 230   2.788 M1
egr              88 230   7.272 M1
ggr              88 230   4.000 M1
sgradjust        88 230   1.000 M1
egradjust        88 230   1.000 M1
ggradjust        88 230   1.000 M1
etable           88 230   0.00000 E2
ftable           88 230   1.00000 E2
wtable           88 230   1.00000 E2
etableadjust     88 230   0.00000 E2
ftableadjust     88 230   1.00000 E2
wtableadjust     88 230   1.00000 E2
upbendc          88 230 0.00000E+00 M2
upbende          88 230 0.00000E+00 M2
upbendf          88 230 0.00000E+00 M2
upbendcadjust    88 230 1.00000E+00 M2
upbendeadjust    88 230 1.00000E+00 M2
upbendfadjust    88 230 1.00000E+00 M2
sgr              88 230   0.002 M2
egr              88 230   7.272 M2
ggr              88 230   4.000 M2
sgradjust        88 230   1.000 M2
egradjust        88 230   1.000 M2
ggradjust        88 230   1.000 M2
##
## parameters: 
##   fission
##
fisbar           88 230  10.69482  1
fishw            88 230   0.24000  1
fisbaradjust     88 230   1.00000  1
fishwadjust      88 230   1.00000  1
Rtransmom        88 230   0.60000  1
Rclass2mom       88 230   1.00000  1
## residual:
##   Z: 88
##   A: 229
##   nuclide: Ra229 
## parameters: 
##   level density
a                88 229  17.10171
aadjust          88 229   1.00000
gammald          88 229   0.07741
pair             88 229   0.79298
Pshift           88 229   0.00000   0
Pshiftadjust     88 229   0.00000   0
deltaW           88 229   4.18393   0
Ntop             88 229  20   0
Nlow             88 229   2   0
s2adjust         88 229   1.00000   0
ctable           88 229   0.27457   0
ptable           88 229   0.28889   0
ctableadjust     88 229   0.00000   0
ptableadjust     88 229   0.00000   0
Ufermi           88 229  30.00000   0
cfermi           88 229   5.00000   0
Krotconstant     88 229   1.00000   0
Pshift           88 229   0.00000   1
Pshiftadjust     88 229   0.00000   1
deltaW           88 229   2.50000   1
Ntop             88 229   1   1
Nlow             88 229   0   1
s2adjust         88 229   1.00000   1
ctable           88 229   0.00000   1
ptable           88 229   0.00000   1
ctableadjust     88 229   0.00000   1
ptableadjust     88 229   0.00000   1
Ufermi           88 229  45.00000   1
cfermi           88 229   5.00000   1
Krotconstant     88 229   1.00000   1
g                88 229  15.26667
gp               88 229   5.86667
gn               88 229   9.40000
gnadjust         88 229   1.00000
gpadjust         88 229   1.00000
gadjust          88 229   1.00000
Risomer          88 229   1.00000
## parameters: 
##   photon strength function
gamgam           88 229   0.00000
gamgamadjust     88 229   1.00000
etable           88 229   0.00000 E1
ftable           88 229   1.00000 E1
wtable           88 229   1.02100 E1
etableadjust     88 229   0.00000 E1
ftableadjust     88 229   1.00000 E1
wtableadjust     88 229   1.00000 E1
upbendc          88 229 3.50000E-08 M1
upbende          88 229 8.00000E-01 M1
upbendf          88 229 6.00000E+00 M1
upbendcadjust    88 229 1.00000E+00 M1
upbendeadjust    88 229 1.00000E+00 M1
upbendfadjust    88 229 1.00000E+00 M1
sgr              88 229   2.777 M1
egr              88 229   7.277 M1
ggr              88 229   4.000 M1
sgradjust        88 229   1.000 M1
egradjust        88 229   1.000 M1
ggradjust        88 229   1.000 M1
etable           88 229   0.00000 E2
ftable           88 229   1.00000 E2
wtable           88 229   1.00000 E2
etableadjust     88 229   0.00000 E2
ftableadjust     88 229   1.00000 E2
wtableadjust     88 229   1.00000 E2
upbendc          88 229 0.00000E+00 M2
upbende          88 229 0.00000E+00 M2
upbendf          88 229 0.00000E+00 M2
upbendcadjust    88 229 1.00000E+00 M2
upbendeadjust    88 229 1.00000E+00 M2
upbendfadjust    88 229 1.00000E+00 M2
sgr              88 229   0.002 M2
egr              88 229   7.277 M2
ggr              88 229   4.000 M2
sgradjust        88 229   1.000 M2
egradjust        88 229   1.000 M2
ggradjust        88 229   1.000 M2
##
## parameters: 
##   fission
##
fisbar           88 229  10.64096  1
fishw            88 229   0.24000  1
fisbaradjust     88 229   1.00000  1
fishwadjust      88 229   1.00000  1
Rtransmom        88 229   0.60000  1
Rclass2mom       88 229   1.00000  1
## residual:
##   Z: 90
##   A: 231
##   nuclide: Th231 
## parameters: 
##   level density
a                90 231  16.35438
aadjust          90 231   1.00000
gammald          90 231   0.07719
pair             90 231   0.78954
Pshift           90 231   0.00000   0
Pshiftadjust     90 231   0.00000   0
deltaW           90 231   3.31792   0
Ntop             90 231  22   0
Nlow             90 231   6   0
s2adjust         90 231   1.00000   0
ctable           90 231   0.49368   0
ptable           90 231  -0.02387   0
ctableadjust     90 231   0.00000   0
ptableadjust     90 231   0.00000   0
Ufermi           90 231  30.00000   0
cfermi           90 231   5.00000   0
Krotconstant     90 231   1.00000   0
Pshift           90 231   0.00000   1
Pshiftadjust     90 231   0.00000   1
deltaW           90 231   2.50000   1
Ntop             90 231   1   1
Nlow             90 231   0   1
s2adjust         90 231   1.00000   1
ctable           90 231   0.05776   1
ptable           90 231  -2.67866   1
ctableadjust     90 231   0.00000   1
ptableadjust     90 231   0.00000   1
Ufermi           90 231  45.00000   1
cfermi           90 231   5.00000   1
Krotconstant     90 231   1.00000   1
Pshift           90 231   0.00000   2
Pshiftadjust     90 231   0.00000   2
deltaW           90 231   0.60000   2
Ntop             90 231   1   2
Nlow             90 231   0   2
s2adjust         90 231   1.00000   2
ctable           90 231  -3.61946   2
ptable           90 231  -2.25936   2
ctableadjust     90 231   0.00000   2
ptableadjust     90 231   0.00000   2
Ufermi           90 231  45.00000   2
cfermi           90 231   5.00000   2
Krotconstant     90 231   1.00000   2
Pshift           90 231   0.00000   3
Pshiftadjust     90 231   0.00000   3
deltaW           90 231   0.60000   3
Ntop             90 231   1   3
Nlow             90 231   0   3
s2adjust         90 231   1.00000   3
ctable           90 231  -2.85851   3
ptable           90 231   2.66753   3
ctableadjust     90 231   0.00000   3
ptableadjust     90 231   0.00000   3
Ufermi           90 231  45.00000   3
cfermi           90 231   5.00000   3
Krotconstant     90 231   1.00000   3
D0               90 231 9.60000E+00
g                90 231  15.40000
gp               90 231   6.00000
gn               90 231   9.40000
gnadjust         90 231   1.00000
gpadjust         90 231   1.00000
gadjust          90 231   1.00000
Risomer          90 231   1.00000
## parameters: 
##   photon strength function
gamgam           90 231   0.00003
gamgamadjust     90 231   1.00000
etable           90 231   0.00000 E1
ftable           90 231   1.00000 E1
wtable           90 231   1.02100 E1
etableadjust     90 231   0.00000 E1
ftableadjust     90 231   1.00000 E1
wtableadjust     90 231   1.00000 E1
upbendc          90 231 3.50000E-08 M1
upbende          90 231 8.00000E-01 M1
upbendf          90 231 6.00000E+00 M1
upbendcadjust    90 231 1.00000E+00 M1
upbendeadjust    90 231 1.00000E+00 M1
upbendfadjust    90 231 1.00000E+00 M1
sgr              90 231   2.798 M1
egr              90 231   7.267 M1
ggr              90 231   4.000 M1
sgradjust        90 231   1.000 M1
egradjust        90 231   1.000 M1
ggradjust        90 231   1.000 M1
etable           90 231   0.00000 E2
ftable           90 231   1.00000 E2
wtable           90 231   1.00000 E2
etableadjust     90 231   0.00000 E2
ftableadjust     90 231   1.00000 E2
wtableadjust     90 231   1.00000 E2
upbendc          90 231 0.00000E+00 M2
upbende          90 231 0.00000E+00 M2
upbendf          90 231 0.00000E+00 M2
upbendcadjust    90 231 1.00000E+00 M2
upbendeadjust    90 231 1.00000E+00 M2
upbendfadjust    90 231 1.00000E+00 M2
sgr              90 231   0.002 M2
egr              90 231   7.267 M2
ggr              90 231   4.000 M2
sgradjust        90 231   1.000 M2
egradjust        90 231   1.000 M2
ggradjust        90 231   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 231   1.58614
vfiscor          90 231   1.62104
rmiufiscor       90 231   1.00000
betafiscoradjust   90 231   1.00000
vfiscoradjust    90 231   1.00000
rmiufiscoradjust   90 231   1.00000
bdamp            90 231   0.01000  1
bdampadjust      90 231   1.00000  1
class2width      90 231   0.20000  1
Rtransmom        90 231   0.60000  1
Rclass2mom       90 231   1.00000  1
bdamp            90 231   0.01000  2
bdampadjust      90 231   1.00000  2
class2width      90 231   0.20000  2
Rtransmom        90 231   1.00000  2
Rclass2mom       90 231   1.00000  2
bdamp            90 231   0.01000  3
bdampadjust      90 231   1.00000  3
Rtransmom        90 231   1.00000  3
Rclass2mom       90 231   1.00000  3
## residual:
##   Z: 89
##   A: 229
##   nuclide: Ac229 
## parameters: 
##   level density
a                89 229  16.57268
aadjust          89 229   1.00000
gammald          89 229   0.07741
pair             89 229   0.79298
Pshift           89 229   0.00000   0
